Original Text,Initial,Machine translation,Better translation,Best translation
The only problem with having this takeout container there is that it's probably all moldy now.,,O único problema de ter esse recipiente para viagem é que provavelmente está todo mofado agora.,,
"Might make you die quicker, though.",,"Pode fazer você morrer mais rápido, no entanto.",,
"You can't tell if there's leftover rice in the container, or if it's just a bunch of maggots.",,Não dá para saber se há sobras de arroz no recipiente ou se é apenas um monte de vermes.,,
"You can't make anything out in the darkness, but you're sure that maggots and larvae are festering in the takeout container.",,"Você não consegue distinguir nada na escuridão, mas tem certeza de que vermes e larvas estão apodrecendo no recipiente para viagem.",,
Television,,Televisão,,
<Hitbox Up: 2><Click Trigger>,,,,
You would've lost your head without this lovely contraption!,,Você teria perdido a cabeça sem esta adorável engenhoca!,,
Wanna watch something?,,Quer assistir alguma coisa?,,
Fuck yeah!,,"Foda-se, sim!",,
Fuck that!,,Foda-se!,,
Suit yourself then! Have fun stewing in your thoughts!,,Fique à vontade então!Divirta-se pensando em seus pensamentos!,,
"---Alice watches TV---
BEAT 2",,"---Alice assiste TV---
BATIDA 2",,
You switch the TV on.,,Você liga a TV.,,
Just like every single day.,,Assim como todos os dias.,,
People always tell you to be consistent...,,As pessoas sempre dizem para você ser consistente...,,
"And here you are! Consistently staying in bed, and watching TV!",,E aqui está você!Ficar consistentemente na cama e assistir TV!,,
"Even though you do this every day, the TV's flickering light still burns your retinas.",,"Mesmo que você faça isso todos os dias, a luz bruxuleante da TV ainda queima suas retinas.",,
You switch through the channels...,,Você muda de canal...,,
News... sports... questionable stuff... kid's shows...,,Notícias... esportes... coisas questionáveis... programas infantis...,,
"You settle on ""My 30 Day Wedding.""",,"Você decide ""Meu casamento de 30 dias"".",,
"Yes, you know that just about everything in that show is staged.",,"Sim, você sabe que quase tudo naquele show é encenado.",,
But you like it. You like seeing these people be so petty towards each other.,,Mas você gosta.Você gosta de ver essas pessoas sendo tão mesquinhas umas com as outras.,,
Seeing them beat the shit out of each other over silly things like soap reminds you of why you're even here.,,Vê-los espancando um ao outro por coisas bobas como sabonete lembra você do motivo pelo qual você está aqui.,,
\F[alice_speak]\AA[F]I know that some might think that I'm missing out on life...,,\F[alice_speak]\AA[F]Eu sei que alguns podem pensar que estou perdendo a vida...,,
\F[alice_assert]\AA[F]But I'm perfectly fine missing out on... people.,,\F[alice_assert]\AA[F]Mas estou perfeitamente bem sentindo falta de... pessoas.,,
"\F[alice_assert]\AA[N]Even if ""My 30 Day Wedding"" is staged, you can't help but feel that there's some level of truth to the pettiness.",,"\F[alice_assert]\AA[N]Mesmo que ""Meu casamento de 30 dias"" seja encenado, você não pode deixar de sentir que há algum nível de verdade nessa mesquinhez.",,
"\F[alice_assert]\AA[N]You remember how when you actually attended class, some boy began trying to prank you.",,"\F[alice_assert]\AA[N]Você se lembra de quando, quando estava na aula, um garoto começou a tentar pregar uma peça em você.",,
"\F[alice_assert]\AA[N]And by prank, I don't mean silly things like dialing random numbers.",,"\F[alice_assert]\AA[N]E por pegadinha, não quero dizer coisas bobas como discar números aleatórios.",,
\F[alice_assert]\AA[N]I mean shit like trying to dump acid on you!,,"\F[alice_assert]\AA[N]Quero dizer, coisas como tentar jogar ácido em você!",,
\F[alice_depressed]\AA[F]...And it was all because I didn't want to work with him on a project.,,\F[alice_depressed]\AA[F]...E tudo porque eu não queria trabalhar com ele em um projeto.,,
\F[alice_no]\AA[F]...Maybe I came across too harshly when rejecting him?,,\F[alice_no]\AA[F]...Talvez eu tenha sido muito duro ao rejeitá-lo?,,
\F[alice_depressed]\AA[F]...,,\F[alice_depressed]\AA[F]...,,
\F[alice_depressed]\AA[N]A massive part of you believes that the world is a shitty place.,,\F[alice_depressed]\AA[N]Uma grande parte de você acredita que o mundo é um lugar de merda.,,
\F[alice_depressed]\AA[N]...But the idea that maybe it's your fault is... tempting?,,\F[alice_depressed]\AA[N]...Mas a ideia de que talvez a culpa seja sua é... tentadora?,,
You sit back and think on it some more.,,Você senta e pensa um pouco mais.,,
"At least if something's your fault, you can fix it.",,"Pelo menos se algo for culpa sua, você pode consertar.",,
You switch to the news channel. You feel like watching something informative.,,Você muda para o canal de notícias.Você tem vontade de assistir algo informativo.,,
TV,,televisão,,
"Gooooooooooood evening, citizens of Libretto City!",,"Boa noite, cidadãos da cidade de Libretto!",,
E-evening?,,E-noite?,,
You're not surprised. More disappointed in yourself than anything.,,Você não está surpreso.Mais decepcionado consigo mesmo do que qualquer coisa.,,
You used to wake up at the crack of dawn to get shit done.,,Você costumava acordar de madrugada para fazer as coisas.,,
"Now, you wake up at the crack of dusk to lay and rot.",,"Agora, você acorda ao anoitecer para deitar e apodrecer.",,
You bring your attention back to the TV. Thoughts aren't good for you.,,Você traz sua atenção de volta para a TV.Os pensamentos não são bons para você.,,
"Today, we bring you a grisly case: A murder!",,Hoje trazemos para vocês um caso terrível: um assassinato!,,
Another one. Just like every day.,,Outro.Assim como todos os dias.,,
"Yes. I know that you see this shit everyday, but this one is so bad that we have to show you!",,"Sim.Eu sei que você vê essa merda todos os dias, mas essa é tão ruim que temos que te mostrar!",,
You zone out a bit while the reporter talks about the crime scene.,,Você se distrai um pouco enquanto o repórter fala sobre a cena do crime.,,
"About how the victim was found under Cardinal River, with half of her face burned off, and her breast torn.",,"Sobre como a vítima foi encontrada sob Cardinal River, com metade do rosto queimado e o peito rasgado.",,
The victim was named... Emma Greenwood!,,A vítima chamava-se... Emma Greenwood!,,
Your ears perk up.,,Seus ouvidos se animam.,,
"You remember that she was one of your classmates, back when you went to class.",,"Você se lembra que ela era uma de suas colegas de classe, quando você ia para a aula.",,
And she was also one of the only people to check up on you.,,E ela também foi uma das únicas pessoas que verificou você.,,
You're sure that she was a good person. She sure as hell didn't deserve to die in such a horrific way.,,Você tem certeza de que ela era uma boa pessoa.Ela com certeza não merecia morrer de uma forma tão horrível.,,
...Why is the world like this?,,...Por que o mundo é assim?,,
"How is it that you could do everything right, and still have something horrible happen to you?",,Como é que você pode fazer tudo certo e ainda assim algo horrível acontecer com você?,,
You decide to sleep. Again.,,Você decide dormir.De novo.,,
"And just like every night, you don't dream.",,"E assim como todas as noites, você não sonha.",,
"On one hand, if you don't dream, you can't remind yourself that this situation does suck.",,"Por um lado, se você não sonha, não consegue se lembrar de que essa situação é uma droga.",,
"Plus, you don't have nightmares about how a stranger is gonna bust in to strangle you!",,"Além disso, você não tem pesadelos sobre como um estranho vai invadir você para estrangulá-lo!",,
"...On the other hand, sleep is getting boring without dreams.",,"...Por outro lado, o sono fica chato sem sonhos.",,
Sleep just consists of your random thoughts bouncing off of each other.,,O sono consiste apenas em pensamentos aleatórios refletindo uns nos outros.,,
It's too much like when you're awake.,,É muito parecido com quando você está acordado.,,
Rise and shine!!! (Again!!!),,Levante-se e brilhe!!!(De novo!!!),,
"Even though you got well over half a day of sleep, your eyes are still glued shut.",,"Mesmo que você tenha dormido bem mais de meio dia, seus olhos ainda estão colados.",,
Not to mention that the sunlight makes you wanna clamp your eyes.,,Sem falar que a luz do sol dá vontade de fechar os olhos.,,
You don't enjoy sunlight.,,Você não gosta da luz solar.,,
"You don't even go out to feel its warmth: It's just a nuisance to you, something that stops you from...",,"Você nem sai para sentir seu calor: é apenas um incômodo para você, algo que te impede de...",,
You can't think of what it stops you from doing.,,Você não consegue pensar no que isso o impede de fazer.,,
\F[alice_depressed]\AA[F]...What am I doing?,,\F[alice_depressed]\AA[F]...O que estou fazendo?,,
\F[alice_no]\AA[F]What am I doing with my life?,,\F[alice_no]\AA[F]O que estou fazendo da minha vida?,,
"\F[alice_no]\AA[N]Rotting away, that's what!",,"\F[alice_no]\AA[N] Apodrecendo, é isso!",,
\F[alice_no]\AA[N]It's in moments like these where you question everything.,,\F[alice_no]\AA[N]É em momentos como esse que você questiona tudo.,,
\F[alice_no]\AA[N]No. You didn't question it when trash began piling up in your room.,,\F[alice_no]\AA[N]Não.Você não questionou quando o lixo começou a se acumular no seu quarto.,,
"\F[alice_no]\AA[N]Nor did you question it when people showed up at your dorm with bills, letters of expulsion... all that good shit.",,"\F[alice_no]\AA[N]Você também não questionou quando pessoas apareceram no seu dormitório com contas, cartas de expulsão... todas essas merdas boas.",,
"\F[alice_no]\AA[N]Now that sunlight is hitting you, you question it.",,"\F[alice_no]\AA[N]Agora que a luz do sol está atingindo você, você questiona.",,
\F[alice_no]\AA[N]Part of you wants to go over to the window and cover it up with something.,,\F[alice_no]\AA[N]Parte de você quer ir até a janela e cobri-la com alguma coisa.,,
\F[alice_no]\AA[N]But you also don't want to see the dent you left in the bed from how long you've laid here.,,\F[alice_no]\AA[N]Mas você também não quer ver a marca que deixou na cama por quanto tempo ficou deitado aqui.,,
\F[alice_no]\AA[N]It makes everything feel too real.,,\F[alice_no]\AA[N]Faz tudo parecer muito real.,,
You hide from the light under the wrinkled covers.,,Você se esconde da luz sob as cobertas amassadas.,,
"You don't sleep under there. You lay awake. The sunlight barely penetrates the thin fabric, but it's better than your eyes being fried.",,"Você não dorme aí embaixo.Você ficou acordado.A luz do sol mal penetra no tecido fino, mas é melhor do que fritar os olhos.",,
There's nothing to distract you from your thoughts under the covers.,,Não há nada que o distraia dos seus pensamentos debaixo das cobertas.,,
Nothing but the faint buzzing of flies around the garbage.,,Nada além do leve zumbido das moscas em volta do lixo.,,
You try to make out little conversations the flies might be having.,,Você tenta entender pequenas conversas que as moscas possam estar tendo.,,
Anything to distract you from your mind.,,Qualquer coisa para distraí-lo de sua mente.,,
"After what feels like an eternity, the room is dark again.",,"Depois do que pareceu uma eternidade, a sala está escura novamente.",,
You prop yourself up. Again.,,Você se sustenta.De novo.,,
\F[alice_frown]\AA[F]...Just another night. Of nothing.,,\F[alice_frown]\AA[F]...Só mais uma noite.De nada.,,
\F[alice_depressed]\AA[F]That's what I expect.,,\F[alice_depressed]\AA[F]Isso é o que eu espero.,,
\F[alice_depressed]\AA[N]Just like every single night since you caged yourself in here!,,\F[alice_depressed]\AA[N] Assim como todas as noites desde que você se enjaulou aqui!,,
"\F[alice_depressed]\AA[N]...The only difference is that now, you're realizing how miserable it is.",,\F[alice_depressed]\AA[N]...A única diferença é que agora você está percebendo o quão miserável é.,,
Looks like you didn't turn off the TV last night.,,Parece que você não desligou a TV ontem à noite.,,
Oh well. You were already behind on electricity bills. No use in caring now.,,Ah bem.Você já estava atrasado nas contas de luz.Não adianta se importar agora.,,
"---Alice realizes there's no power---
BEAT 4",,"---Alice percebe que não há poder---
BATIDA 4",,
"Ah, looks like the TV's off.",,"Ah, parece que a TV está desligada.",,
You don't remember turning it off.,,Você não se lembra de ter desligado.,,
\F[alice_downturned]\AA[F]Guess that they finally cut the power... Explains why the lamp's off.,,\F[alice_downturned]\AA[F]Acho que finalmente cortaram a energia... Explica porque a lâmpada está apagada.,,
\F[alice_sleep]\AA[F]This day was coming.,,\F[alice_sleep]\AA[F]Esse dia estava chegando.,,
\F[alice_sleep]\AA[N]Aaaaaaand now your one source of entertainment is gone!,,\F[alice_sleep]\AA[N]Aaaaaa e agora sua única fonte de entretenimento se foi!,,
\F[alice_depressed]\AA[F]...All that can keep me occupied now are my thoughts... or sleep.,,\F[alice_depressed]\AA[F]...Tudo o que pode me manter ocupado agora são meus pensamentos... ou sono.,,
\F[alice_no]\AA[F]What does it matter that the power's gone? Most of my time is spent sleeping and thinking anyways.,,\F[alice_no]\AA[F]O que importa se a energia acabou?Passo a maior parte do tempo dormindo e pensando de qualquer maneira.,,
\F[alice_no]\AA[N]White noise rings in your mind. Your stomach grumbles with hollowness.,,\F[alice_no]\AA[N]Ruído branco ressoa em sua mente.Seu estômago ronca de vazio.,,
\F[alice_no]\AA[N]And your eyes just don't want to stay open.,,\F[alice_no]\AA[N]E seus olhos simplesmente não querem ficar abertos.,,
"\F[alice_no]\AA[N]Regardless of if you sleep for 3 or 18 hours, your eyes want to stay clamped shut in eternal slumber.",,"\F[alice_no]\AA[N]Independentemente de você dormir 3 ou 18 horas, seus olhos querem permanecer fechados em um sono eterno.",,
"Your eyes give in, and darkness is all you see.",,Seus olhos cederam e a escuridão é tudo que você vê.,,
"Your other senses are heightened, but even they feel dull.",,"Seus outros sentidos estão aguçados, mas até eles parecem embotados.",,
You know that it smells slightly worse in here than usual. ,,Você sabe que o cheiro aqui é um pouco pior do que o normal.,,
You're used to the stench of mold and rotting wood.,,Você está acostumado com o cheiro de mofo e madeira podre.,,
But you're beginning to pick up the odor of decaying meat.,,Mas você está começando a sentir o odor de carne em decomposição.,,
The flies are gonna love that.,,As moscas vão adorar isso.,,
You wake up from another dreamless night.,,Você acorda de mais uma noite sem sonhos.,,
That's good. Nothing to remind you of what you could be missing out on.,,Isso é bom.Nada para lembrá-lo do que você pode estar perdendo.,,
And... it's night?,,E... é noite?,,
"You either slept for only a few hours, or for an entire day!",,Você dormiu apenas algumas horas ou o dia inteiro!,,
\F[alice_eyeopen]\AA[F]...I'm probably going to fall right back asleep any minute.,,\F[alice_eyeopen]\AA[F]...Provavelmente vou voltar a dormir a qualquer minuto.,,
\F[alice_eyeopen]\AA[N]You're starting to wish that you'd stay asleep forever.,,\F[alice_eyeopen]\AA[N]Você está começando a desejar dormir para sempre.,,
A very useless TV.,,Uma TV muito inútil.,,
Trash bin,,Lixeira,,
<Hitbox Right: 1><Click Trigger>,,,,
You're so tired most of the time that you can't even bring yourself to put the trash in here.,,Você fica tão cansado a maior parte do tempo que nem consegue colocar o lixo aqui.,,
Why do you have a trash bin if you never use it?,,Por que você tem uma lixeira se nunca a usa?,,
You can barely smell the rotting trash from here.,,Você mal consegue sentir o cheiro do lixo podre daqui.,,
Mostly because it blends in with the rest of the odors.,,Principalmente porque se mistura com o resto dos odores.,,
Trash,,Lixo,,
<Hitbox Right: 4><Hitbox Up: 1><Click Trigger>,,,,
The trash has piled up so much that it almost covers the windows.,,O lixo se acumulou tanto que quase cobre as janelas.,,
\F[alice_neutral]\AA[F]I would take out the garbage...,,\F[alice_neutral]\AA[F]Eu levaria o lixo para fora...,,
\F[alice_no]\AA[F]...If I didn't have to go outside.,,\F[alice_no]\AA[F]...Se eu não tivesse que sair.,,
It's only now that you realize how overpowering the stench is.,,Só agora você percebe o quão insuportável é o fedor.,,
You feel bad for whoever lives on this floor of the dorms.,,Você se sente mal por quem mora neste andar dos dormitórios.,,
But that guilt isn't enough to drag you out.,,Mas essa culpa não é suficiente para arrastá-lo.,,
You're surprised that no one's shown up at your door complaining about this.,,Você está surpreso que ninguém tenha aparecido na sua porta reclamando disso.,,
"Gone is the foul odor of garbage, replaced by just the scent of your room.",,"O odor desagradável do lixo desapareceu, sendo substituído apenas pelo cheiro do seu quarto.",,
flies,,moscas,,
Light,,Luz,,
<Click Trigger>,,,,
You used to actually use this for studying.,,Você costumava usar isso para estudar.,,
"Now, it just eats up energy you haven't paid for in weeks.",,"Agora, isso apenas consome energia pela qual você não paga há semanas.",,
\F[alice_drool]\AA[F]Strange... it's off.,,\F[alice_drool]\AA[F]Estranho... está desligado.,,
"<Sprite Offset: +0, +8>",,,,
Exit,,Sair,,
<Hitbox Down: 1>,,<Hitbox para baixo: 1>,,
You haven't stepped outside of your room for a very long time.,,Você não sai do seu quarto há muito tempo.,,
You only ever go here to pick up takeout.,,Você só vai aqui para pegar comida.,,
"At the rate you're going, you'll never make it here.",,"No ritmo que você está indo, você nunca conseguirá chegar aqui.",,
Wall,,Parede,,
<Hitbox Down: 1><Hitbox Right: 2><Click Trigger>,,,,
You've been meaning to call someone to fix this.,,Você queria ligar para alguém para consertar isso.,,
"Alas, the stench of rotting wood is nothing for you! Not when you live with the flies!",,"Infelizmente, o fedor de madeira podre não é nada para você!Não quando você vive com as moscas!",,
You're just waiting for the day for that wall to completely fall apart.,,Você está apenas esperando o dia em que aquela parede desmorone completamente.,,
The wall looks a tad bit moldier than usual.,,A parede parece um pouco mais mofada do que o normal.,,
You can't even smell the rotting wood anymore.,,Você não consegue mais sentir o cheiro da madeira podre.,,
You just smell your room.,,Você apenas sente o cheiro do seu quarto.,,
Coffee,,Café,,
You haven't bothered to clean that up.,,Você não se preocupou em limpar isso.,,
Too much of a hassle when you already live in filth.,,É muito incômodo quando você já vive na sujeira.,,
Napkin,,Guardanapo,,
Looks like the floor has become your trash bin for tissues!,,Parece que o chão virou sua lixeira para lenços de papel!,,
Box,,Caixa,,
"<Click Trigger><Sprite Offset: +0, +16>",,,,
"Even though you've lived in this dorm for some time, you never finished unpacking.",,"Mesmo que você já more neste dormitório há algum tempo, você nunca terminou de desfazer as malas.",,
Looks like it's gonna stay that way.,,Parece que vai continuar assim.,,
You know that the stuff in this box is from your past life.,,Você sabe que as coisas nesta caixa são de sua vida passada.,,
It almost makes you sad that the final remnant of it is being left in this rotting dormitory with you.,,Quase te deixa triste que o resto final esteja sendo deixado neste dormitório apodrecido com você.,,
Bed,,Cama,,
<Hitbox Right: 4><Click Trigger>,,,,
"Your lovely, food-stained bed!",,Sua linda cama manchada de comida!,,
It's more of a home to you than this dorm!,,É mais um lar para você do que este dormitório!,,
"...Looking closer into the crevice between the mattress and the wall, there's something... weird?",,"...Olhando mais de perto na fenda entre o colchão e a parede, tem algo... estranho?",,
Your very food-stained bed.,,Sua cama muito manchada de comida.,,
Laying here for so long has left a massive indentation in the bed.,,Ficar deitado aqui por tanto tempo deixou uma marca enorme na cama.,,
You feel almost embarrassed by it.,,Você se sente quase envergonhado por isso.,,
But you know that no one comes here anyways!,,Mas você sabe que ninguém vem aqui de qualquer maneira!,,
You feel tethered to the bed by now.,,Você se sente amarrado à cama agora.,,
You've been here for so long... why bother leaving?,,Você está aqui há tanto tempo... por que se preocupar em ir embora?,,
Alice_stand,,Alice_stand,,
"<Sprite Offset: +32, +0>",,,,
Rot,,Podridão,,
"<Click Trigger><Sprite Offset: +0, +4>",,,,
"---Alice discovers rot---
BEAT 3",,"---Alice descobre podridão---
BATIDA 3",,
\F[alice_neutral]\AA[F]Huh? What's this?,,\F[alice_neutral]\AA[F]Eh?O que é isso?,,
\F[alice_neutral]\AA[N]You can't discern what it is. Maybe it's a plant of some kind?,,\F[alice_neutral]\AA[N]Você não consegue discernir o que é.Talvez seja algum tipo de planta?,,
\F[alice_neutral]\AA[N]You don't know what it would be living off of.,,\F[alice_neutral]\AA[N]Você não sabe do que seria viver.,,
\F[alice_neutral]\AA[N]Maybe off of the food scraps under your bed?,,\F[alice_neutral]\AA[N]Talvez dos restos de comida debaixo da sua cama?,,
\F[alice_neutral]\AA[N]Maybe off of the decaying wood?,,\F[alice_neutral]\AA[N]Talvez da madeira em decomposição?,,
"\F[alice_no]\AA[F]No use in wondering about it, though.",,"\F[alice_no]\AA[F]No entanto, não adianta ficar pensando sobre isso.",,
\F[alice_nap]\AA[F]...No use in wondering about anything now.,,\F[alice_nap]\AA[F]...Não adianta ficar pensando em nada agora.,,
"You lay back down in bed, stomach completely empty.",,"Você se deita na cama, com o estômago completamente vazio.",,
"As the days go on and on, you feel like your head's becoming more empty.",,"Com o passar dos dias, você sente que sua cabeça fica mais vazia.",,
"You can remember how when you were younger, the lives of you and your sister were filled with joy and whimsy...",,"Você pode se lembrar de como, quando era mais jovem, a vida sua e da sua irmã era cheia de alegria e capricho...",,
"(As much as you can get in Libretto City, at least!)",,"(Tanto quanto você conseguir em Libretto City, pelo menos!)",,
You know that your sister's off being productive. Working in forensics of some kind.,,Você sabe que sua irmã está sendo produtiva.Trabalhando em algum tipo de perícia.,,
"Heck, she's probably working on Emma Greenwood's case right as you rot!",,"Caramba, ela provavelmente está trabalhando no caso de Emma Greenwood enquanto você apodrece!",,
...How would she feel if she saw me like this?,,...Como ela se sentiria se me visse assim?,,
Everyone in my family thinks I'm off getting some psychology degree.,,Todos na minha família pensam que estou me formando em psicologia.,,
They all think I'm actually doing something with my life...,,Todos pensam que estou realmente fazendo algo com a minha vida...,,
When I'm just... rotting.,,Quando estou... apodrecendo.,,
That's the best word for it.,,Essa é a melhor palavra para isso.,,
I used to be something. Someone. Now I'm just some husk...,,Eu costumava ser alguma coisa.Alguém.Agora sou apenas uma casca...,,
"...You remember when Emma came to check up on you, she asked if anything had happened.",,"...Você se lembra quando Emma veio ver você, ela perguntou se alguma coisa tinha acontecido.",,
"You tried to pinpoint what happened. You're still trying, to be quite frank.",,"Você tentou identificar o que aconteceu.Você ainda está tentando, para ser franco.",,
"At least if something did happen to you, this state of your life would be justified, right?",,"Pelo menos se algo acontecesse com você, esse estado da sua vida seria justificado, certo?",,
Maybe it wasn't a single bad thing that happened.,,Talvez não tenha sido uma única coisa ruim que aconteceu.,,
Maybe it was a bunch of smaller things piling up.,,Talvez fosse um monte de coisas menores se acumulando.,,
"Even though you've spent the better part of the day sleeping, you're too tired to think.",,"Mesmo que você tenha passado a maior parte do dia dormindo, você está cansado demais para pensar.",,
You just want rest.,,Você só quer descansar.,,
It's been long overdue.,,Já faz muito tempo.,,
"When you wake up, the sun is blaring on you, and your little plant friend.",,"Quando você acorda, o sol está brilhando sobre você e sua amiguinha planta.",,
\F[alice_lemmesleep]\AA[F]Ngh... why's there so much sunlight out there?,,\F[alice_lemmesleep]\AA[F]Ngh... por que há tanta luz solar lá fora?,,
"\F[alice_no]\AA[F]Libretto City is usually all dark and gloomy, why's it all bright now of all times?",,"\F[alice_no]\AA[F]Libretto City geralmente é escura e sombria, por que está tão clara agora?",,
"\F[alice_no]\AA[N]Sometimes, you like to think that it's sunny because you're not out there.",,\F[alice_no]\AA[N]Às vezes você gosta de pensar que está ensolarado porque você não está lá fora.,,
\F[alice_no]\AA[N]Self aggrandizing? Fuck yeah.,,"\F[alice_no]\AA[N]Auto engrandecedor?Porra, sim.",,
"\F[alice_no]\AA[N]Funny? Hell yeah. At least, it's funny in your mind.",,"\F[alice_no]\AA[N]Engraçado?Claro que sim.Pelo menos, é engraçado em sua mente.",,
\F[alice_depressed]\AA[F]...Seeing the sun out reminds me that everyone's out there doing stuff.,,\F[alice_depressed]\AA[F]...Ver o sol me lembra que todo mundo está fazendo coisas.,,
"\F[alice_no]\AA[F]At least in the night, people are doing what I do, for the most part.",,"\F[alice_no]\AA[F]Pelo menos à noite, a maior parte das pessoas estão fazendo o que eu faço.",,
"\F[alice_drool]\AA[F]Eating, watching TV, and sleeping.",,"\F[alice_drool]\AA[F]Comer, assistir TV e dormir.",,
\F[alice_sleep]\AA[F]...,,\F[alice_sleep]\AA[F]...,,
\F[alice_depressed]\AA[F]...But I know that's not true when the sun is shining.,,\F[alice_depressed]\AA[F]...Mas eu sei que isso não é verdade quando o sol está brilhando.,,
You lay back down. Again.,,Você se deitou.De novo.,,
You truly hate being reminded of what you could be doing instead of laying in bed all day.,,"Você realmente odeia ser lembrado do que poderia estar fazendo, em vez de ficar deitado na cama o dia todo.",,
You know it's your fault that you're like this.,,Você sabe que é sua culpa ser assim.,,
"You struggle to sleep through the day, lost in thought.",,"Você luta para dormir durante o dia, perdido em pensamentos.",,
I know that some people out there feel the exact way that I do.,,Eu sei que algumas pessoas por aí se sentem exatamente da mesma maneira que eu.,,
But it manifests so differently for people...,,Mas isso se manifesta de maneira tão diferente para as pessoas...,,
Some people just turn to alcohol...,,Algumas pessoas simplesmente recorrem ao álcool...,,
Some turn to adrenaline hunting...,,Alguns recorrem à caça à adrenalina...,,
Some throw themselves into their work and become even more productive...,,Alguns se dedicam ao trabalho e se tornam ainda mais produtivos...,,
I think that any of those people are more productive than I am.,,Acho que qualquer uma dessas pessoas é mais produtiva do que eu.,,
Even the alcoholic and adrenaline junkie.,,Até mesmo o alcoólatra e viciado em adrenalina.,,
Because at least they're putting themselves out into the world...,,Porque pelo menos eles estão se expondo ao mundo...,,
Why do my feelings manifest in this way?,,Por que meus sentimentos se manifestam dessa maneira?,,
Night falls yet again!,,A noite cai mais uma vez!,,
Just like every. Single. Night.,,Assim como todos.Solteiro.Noite.,,
Do you know how insanity is defined?,,Você sabe como se define a insanidade?,,
"You really should, considering that you barely survived 1 semester of university!",,"Você realmente deveria, considerando que mal sobreviveu a 1 semestre de universidade!",,
\F[alice_no]\AA[F]...,,\F[alice_no]\AA[F]...,,
"\F[alice_no]\AA[N]No answer? Ah, shucks.",,"\F[alice_no]\AA[N]Sem resposta?Ah, que merda.",,
\F[alice_no]\AA[N]Explains why you stopped attending class.,,\F[alice_no]\AA[N]Explica por que você parou de frequentar as aulas.,,
"\F[alice_no]\AA[N]Insanity is when you do the same thing over and over again, expecting a different result.",,"\F[alice_no]\AA[N]Insanidade é quando você faz a mesma coisa repetidamente, esperando um resultado diferente.",,
\F[alice_no]\AA[N]That's exactly what you're doing!,,\F[alice_no]\AA[N]Isso é exatamente o que você está fazendo!,,
\F[alice_depressed]\AA[F]...The thing is that I know nothing's gonna change.,,\F[alice_depressed]\AA[F]...Acontece que sei que nada vai mudar.,,
"\F[alice_no]\AA[F]No shit, it isn't. I know that every single day is the same.",,"\F[alice_no]\AA[F]Não, merda, não é.Eu sei que todos os dias são iguais.",,
"\F[alice_depressed]\AA[F]...But how different am I compared to other people, then?",,"\F[alice_depressed]\AA[F]...Mas quão diferente eu sou em comparação com outras pessoas, então?",,
"\F[alice_depressed]\AA[N]...Alright, good point.",,"\F[alice_depressed]\AA[N]...Tudo bem, bom argumento.",,
