Original Text,Initial,Machine translation,Better translation,Best translation,Vencedor,Score Annie,Score Online
"\F[alice_downturned]\AA[N]In order to look around, you find yourself having to [CLICK] on everything in the room.",,"\F[alice_downturned]\AA[N]Para olhar ao redor, você precisa [CLIQUE] em tudo na sala.",,"\F[alice_downturned]\AA[N]Para olhar ao redor, você precisa [CLIQUE] em tudo na sala.",Online (Annie falhou),0.0,0.652
Alice_Sit,,Alice_Sit,Alice_sentar,Alice_sentar,Annie,0.616,0.614
<Hitbox Left: 1><Hitbox Up: 1><Click Trigger>,,,<Hitbox Left: 1><Hitbox Up: 1><Click Trigger>,<Hitbox Left: 1><Hitbox Up: 1><Click Trigger>,Annie (Rival vazio),0.633,0.0
It's you!,,É você!,,É você!,Online (Annie falhou),0.0,0.667
"Your sad, hermit little self.",,Seu eu triste e eremita.,"Su triste, ermitarina pequeña auto.","Su triste, ermitarina pequeña auto.",Annie,0.597,0.584
As if you didn't know that already!,,Como se você já não soubesse disso!,,Como se você já não soubesse disso!,Online (Annie falhou),0.0,0.665
It's you.,,É você.,,É você.,Online (Annie falhou),0.0,0.642
Your sad little hermit self.,,Seu pequeno e triste eu eremita.,Su triste ermita pequeña ermita.,Seu pequeno e triste eu eremita.,Online,0.594,0.6
...All that you have is yourself now.,,...Tudo o que você tem é você mesmo agora.,,...Tudo o que você tem é você mesmo agora.,Online (Annie falhou),0.0,0.67
"...Even then, you're beginning to lose her.",,"...Mesmo assim, você está começando a perdê-la.","...Mesmo entonces, você está empezando a perderla.","...Mesmo entonces, você está empezando a perderla.",Annie,0.676,0.671
It's too late for you now.,,Agora é tarde demais para você.,,Agora é tarde demais para você.,Online (Annie falhou),0.0,0.665
Takeout,,Para viagem,Takeout,Takeout,Annie,0.616,0.604
"<Hitbox Up: 1><Click Trigger><Sprite Offset: +0, -16>",,,"<Hitbox Up: 1><<Click Trigger><Sprite Offset: +0, -16>","<Hitbox Up: 1><<Click Trigger><Sprite Offset: +0, -16>",Annie (Rival vazio),0.633,0.0
You're grateful for this.,,Você está grato por isso.,Estás agradecida por esto.,Estás agradecida por esto.,Annie,0.674,0.666
Grateful that you don't have to go out for food!,,Grata por não precisar sair para comer!,Grato por no tener que salir a buscar comida!,Grato por no tener que salir a buscar comida!,Annie,0.649,0.627
"Otherwise, you would've died long ago.",,"Caso contrário, você teria morrido há muito tempo.","Caso contrario, você teria morrido hace muito tiempo.","Caso contrário, você teria morrido há muito tempo.",Online,0.68,0.683
The only problem with having this takeout container there is that it's probably all moldy now.,,O único problema de ter esse recipiente para viagem é que provavelmente está todo mofado agora.,El único problema de tener este contenedor de take out lá é que provavelmente está todo mofoso ahora.,O único problema de ter esse recipiente para viagem é que provavelmente está todo mofado agora.,Online,0.648,0.664
"Might make you die quicker, though.",,"Pode fazer você morrer mais rápido, no entanto.","Poderá fazer você morrer mais rápido, no entanto.","Poderá fazer você morrer mais rápido, no entanto.",Annie,0.652,0.65
"You can't tell if there's leftover rice in the container, or if it's just a bunch of maggots.",,Não dá para saber se há sobras de arroz no recipiente ou se é apenas um monte de vermes.,"No se sabe si hay sobra de arroz no recipiente, ou se se trata de un bando de vermes.",Não dá para saber se há sobras de arroz no recipiente ou se é apenas um monte de vermes.,Online,0.624,0.669
"You can't make anything out in the darkness, but you're sure that maggots and larvae are festering in the takeout container.",,"Você não consegue distinguir nada na escuridão, mas tem certeza de que vermes e larvas estão apodrecendo no recipiente para viagem.",,"Você não consegue distinguir nada na escuridão, mas tem certeza de que vermes e larvas estão apodrecendo no recipiente para viagem.",Online (Annie falhou),0.0,0.638
Television,,Televisão,Télévision,Televisão,Online,0.677,0.687
<Hitbox Up: 2><Click Trigger>,,,<Hitbox Up: 2><Click Trigger>,<Hitbox Up: 2><Click Trigger>,Annie (Rival vazio),0.628,0.0
You would've lost your head without this lovely contraption!,,Você teria perdido a cabeça sem esta adorável engenhoca!,,Você teria perdido a cabeça sem esta adorável engenhoca!,Online (Annie falhou),0.0,0.659
Wanna watch something?,,Quer assistir alguma coisa?,Quer ver algo?,Quer assistir alguma coisa?,Online,0.65,0.676
Fuck yeah!,,"Foda-se, sim!","Porra, yeah!","Porra, yeah!",Annie,0.585,0.569
Fuck that!,,Foda-se!,Que se foda!,Que se foda!,Annie,0.624,0.579
Suit yourself then! Have fun stewing in your thoughts!,,Fique à vontade então!Divirta-se pensando em seus pensamentos!,Como queiras entonces! Diviértete en guisando en tus pensamentos!,Fique à vontade então!Divirta-se pensando em seus pensamentos!,Online,0.612,0.637
"---Alice watches TV---
BEAT 2",,"---Alice assiste TV---
BATIDA 2",---Alice assiste TV TV--- BAT 2,"---Alice assiste TV---
BATIDA 2",Online,0.638,0.646
You switch the TV on.,,Você liga a TV.,,Você liga a TV.,Online (Annie falhou),0.0,0.654
Just like every single day.,,Assim como todos os dias.,Como todos os dias.,Assim como todos os dias.,Online,0.661,0.669
People always tell you to be consistent...,,As pessoas sempre dizem para você ser consistente...,La gente siempre te dice que debes ser consistente...,La gente siempre te dice que debes ser consistente...,Annie,0.687,0.687
"And here you are! Consistently staying in bed, and watching TV!",,E aqui está você!Ficar consistentemente na cama e assistir TV!,,E aqui está você!Ficar consistentemente na cama e assistir TV!,Online (Annie falhou),0.0,0.675
"Even though you do this every day, the TV's flickering light still burns your retinas.",,"Mesmo que você faça isso todos os dias, a luz bruxuleante da TV ainda queima suas retinas.",,"Mesmo que você faça isso todos os dias, a luz bruxuleante da TV ainda queima suas retinas.",Online (Annie falhou),0.0,0.683
You switch through the channels...,,Você muda de canal...,Você cambia através dos canales...,Você cambia através dos canales...,Annie,0.678,0.653
News... sports... questionable stuff... kid's shows...,,Notícias... esportes... coisas questionáveis... programas infantis...,Noticias... sports... coisas questionáveis... shows infantiles...,Notícias... esportes... coisas questionáveis... programas infantis...,Online,0.686,0.687
"You settle on ""My 30 Day Wedding.""",,"Você decide ""Meu casamento de 30 dias"".","Se assenta en ""My 30 Day Wedding.""","Você decide ""Meu casamento de 30 dias"".",Online,0.6,0.668
"Yes, you know that just about everything in that show is staged.",,"Sim, você sabe que quase tudo naquele show é encenado.",,"Sim, você sabe que quase tudo naquele show é encenado.",Online (Annie falhou),0.0,0.689
But you like it. You like seeing these people be so petty towards each other.,,Mas você gosta.Você gosta de ver essas pessoas sendo tão mesquinhas umas com as outras.,A ti te gusta ver estas personas ser tan mesquines entre elles.,Mas você gosta.Você gosta de ver essas pessoas sendo tão mesquinhas umas com as outras.,Online,0.628,0.661
Seeing them beat the shit out of each other over silly things like soap reminds you of why you're even here.,,Vê-los espancando um ao outro por coisas bobas como sabonete lembra você do motivo pelo qual você está aqui.,Viendo-los golpearse mutuamente por coisas idiotas como sabonete te recuerda por qué estás aqui.,Vê-los espancando um ao outro por coisas bobas como sabonete lembra você do motivo pelo qual você está aqui.,Online,0.64,0.647
\F[alice_speak]\AA[F]I know that some might think that I'm missing out on life...,,\F[alice_speak]\AA[F]Eu sei que alguns podem pensar que estou perdendo a vida...,,\F[alice_speak]\AA[F]Eu sei que alguns podem pensar que estou perdendo a vida...,Online (Annie falhou),0.0,0.658
\F[alice_assert]\AA[F]But I'm perfectly fine missing out on... people.,,\F[alice_assert]\AA[F]Mas estou perfeitamente bem sentindo falta de... pessoas.,,\F[alice_assert]\AA[F]Mas estou perfeitamente bem sentindo falta de... pessoas.,Online (Annie falhou),0.0,0.632
"\F[alice_assert]\AA[N]Even if ""My 30 Day Wedding"" is staged, you can't help but feel that there's some level of truth to the pettiness.",,"\F[alice_assert]\AA[N]Mesmo que ""Meu casamento de 30 dias"" seja encenado, você não pode deixar de sentir que há algum nível de verdade nessa mesquinhez.",,"\F[alice_assert]\AA[N]Mesmo que ""Meu casamento de 30 dias"" seja encenado, você não pode deixar de sentir que há algum nível de verdade nessa mesquinhez.",Online (Annie falhou),0.0,0.649
"\F[alice_assert]\AA[N]You remember how when you actually attended class, some boy began trying to prank you.",,"\F[alice_assert]\AA[N]Você se lembra de quando, quando estava na aula, um garoto começou a tentar pregar uma peça em você.",,"\F[alice_assert]\AA[N]Você se lembra de quando, quando estava na aula, um garoto começou a tentar pregar uma peça em você.",Online (Annie falhou),0.0,0.631
"\F[alice_assert]\AA[N]And by prank, I don't mean silly things like dialing random numbers.",,"\F[alice_assert]\AA[N]E por pegadinha, não quero dizer coisas bobas como discar números aleatórios.",,"\F[alice_assert]\AA[N]E por pegadinha, não quero dizer coisas bobas como discar números aleatórios.",Online (Annie falhou),0.0,0.62
\F[alice_assert]\AA[N]I mean shit like trying to dump acid on you!,,"\F[alice_assert]\AA[N]Quero dizer, coisas como tentar jogar ácido em você!",,"\F[alice_assert]\AA[N]Quero dizer, coisas como tentar jogar ácido em você!",Online (Annie falhou),0.0,0.65
\F[alice_depressed]\AA[F]...And it was all because I didn't want to work with him on a project.,,\F[alice_depressed]\AA[F]...E tudo porque eu não queria trabalhar com ele em um projeto.,,\F[alice_depressed]\AA[F]...E tudo porque eu não queria trabalhar com ele em um projeto.,Online (Annie falhou),0.0,0.656
\F[alice_no]\AA[F]...Maybe I came across too harshly when rejecting him?,,\F[alice_no]\AA[F]...Talvez eu tenha sido muito duro ao rejeitá-lo?,,\F[alice_no]\AA[F]...Talvez eu tenha sido muito duro ao rejeitá-lo?,Online (Annie falhou),0.0,0.645
\F[alice_depressed]\AA[F]...,,\F[alice_depressed]\AA[F]...,,\F[alice_depressed]\AA[F]...,Online (Annie falhou),0.0,0.623
\F[alice_depressed]\AA[N]A massive part of you believes that the world is a shitty place.,,\F[alice_depressed]\AA[N]Uma grande parte de você acredita que o mundo é um lugar de merda.,,\F[alice_depressed]\AA[N]Uma grande parte de você acredita que o mundo é um lugar de merda.,Online (Annie falhou),0.0,0.683
\F[alice_depressed]\AA[N]...But the idea that maybe it's your fault is... tempting?,,\F[alice_depressed]\AA[N]...Mas a ideia de que talvez a culpa seja sua é... tentadora?,,\F[alice_depressed]\AA[N]...Mas a ideia de que talvez a culpa seja sua é... tentadora?,Online (Annie falhou),0.0,0.658
You sit back and think on it some more.,,Você senta e pensa um pouco mais.,,Você senta e pensa um pouco mais.,Online (Annie falhou),0.0,0.645
"At least if something's your fault, you can fix it.",,"Pelo menos se algo for culpa sua, você pode consertar.","Al menos si algo es culpa tuya, puedes arreglarlo.","Al menos si algo es culpa tuya, puedes arreglarlo.",Annie,0.687,0.651
You switch to the news channel. You feel like watching something informative.,,Você muda para o canal de notícias.Você tem vontade de assistir algo informativo.,"Passas al canal de noticias, te apetece ver algo informativo.",Você muda para o canal de notícias.Você tem vontade de assistir algo informativo.,Online,0.676,0.684
TV,,televisão,TV,TV,Annie (Protegido),1.0,0.0
"Gooooooooooood evening, citizens of Libretto City!",,"Boa noite, cidadãos da cidade de Libretto!",Goooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooaooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooocecececececececececececececececece,"Boa noite, cidadãos da cidade de Libretto!",Online,0.528,0.669
E-evening?,,E-noite?,Boa noite?,Boa noite?,Annie,0.633,0.631
You're not surprised. More disappointed in yourself than anything.,,Você não está surpreso.Mais decepcionado consigo mesmo do que qualquer coisa.,"Você no está sorprendido, mas decepcionado por si mesmo que por nada.",Você não está surpreso.Mais decepcionado consigo mesmo do que qualquer coisa.,Online,0.631,0.672
You used to wake up at the crack of dawn to get shit done.,,Você costumava acordar de madrugada para fazer as coisas.,Solías despertar al amanecer para hacer merdas.,Você costumava acordar de madrugada para fazer as coisas.,Online,0.626,0.66
"Now, you wake up at the crack of dusk to lay and rot.",,"Agora, você acorda ao anoitecer para deitar e apodrecer.",,"Agora, você acorda ao anoitecer para deitar e apodrecer.",Online (Annie falhou),0.0,0.629
You bring your attention back to the TV. Thoughts aren't good for you.,,Você traz sua atenção de volta para a TV.Os pensamentos não são bons para você.,,Você traz sua atenção de volta para a TV.Os pensamentos não são bons para você.,Online (Annie falhou),0.0,0.671
"Today, we bring you a grisly case: A murder!",,Hoje trazemos para vocês um caso terrível: um assassinato!,,Hoje trazemos para vocês um caso terrível: um assassinato!,Online (Annie falhou),0.0,0.688
Another one. Just like every day.,,Outro.Assim como todos os dias.,Como todos os dias.,Outro.Assim como todos os dias.,Online,0.625,0.629
"Yes. I know that you see this shit everyday, but this one is so bad that we have to show you!",,"Sim.Eu sei que você vê essa merda todos os dias, mas essa é tão ruim que temos que te mostrar!",,"Sim.Eu sei que você vê essa merda todos os dias, mas essa é tão ruim que temos que te mostrar!",Online (Annie falhou),0.0,0.68
You zone out a bit while the reporter talks about the crime scene.,,Você se distrai um pouco enquanto o repórter fala sobre a cena do crime.,,Você se distrai um pouco enquanto o repórter fala sobre a cena do crime.,Online (Annie falhou),0.0,0.673
"About how the victim was found under Cardinal River, with half of her face burned off, and her breast torn.",,"Sobre como a vítima foi encontrada sob Cardinal River, com metade do rosto queimado e o peito rasgado.",,"Sobre como a vítima foi encontrada sob Cardinal River, com metade do rosto queimado e o peito rasgado.",Online (Annie falhou),0.0,0.684
The victim was named... Emma Greenwood!,,A vítima chamava-se... Emma Greenwood!,La víctima se llamaba Emma Greenwood!,La víctima se llamaba Emma Greenwood!,Annie,0.682,0.677
Your ears perk up.,,Seus ouvidos se animam.,Tes orelhas se aperfeiçoam.,Tes orelhas se aperfeiçoam.,Annie,0.6,0.594
"You remember that she was one of your classmates, back when you went to class.",,"Você se lembra que ela era uma de suas colegas de classe, quando você ia para a aula.",,"Você se lembra que ela era uma de suas colegas de classe, quando você ia para a aula.",Online (Annie falhou),0.0,0.67
And she was also one of the only people to check up on you.,,E ela também foi uma das únicas pessoas que verificou você.,,E ela também foi uma das únicas pessoas que verificou você.,Online (Annie falhou),0.0,0.662
You're sure that she was a good person. She sure as hell didn't deserve to die in such a horrific way.,,Você tem certeza de que ela era uma boa pessoa.Ela com certeza não merecia morrer de uma forma tão horrível.,"Está segura de que era una buena persona, que seguramente no merecia morir de forma horrenda.",Você tem certeza de que ela era uma boa pessoa.Ela com certeza não merecia morrer de uma forma tão horrível.,Online,0.671,0.68
...Why is the world like this?,,...Por que o mundo é assim?,,...Por que o mundo é assim?,Online (Annie falhou),0.0,0.693
"How is it that you could do everything right, and still have something horrible happen to you?",,Como é que você pode fazer tudo certo e ainda assim algo horrível acontecer com você?,,Como é que você pode fazer tudo certo e ainda assim algo horrível acontecer com você?,Online (Annie falhou),0.0,0.672
You decide to sleep. Again.,,Você decide dormir.De novo.,"Usted decide dormir, de nuevo.",Você decide dormir.De novo.,Online,0.678,0.681
"And just like every night, you don't dream.",,"E assim como todas as noites, você não sonha.",,"E assim como todas as noites, você não sonha.",Online (Annie falhou),0.0,0.667
"On one hand, if you don't dream, you can't remind yourself that this situation does suck.",,"Por um lado, se você não sonha, não consegue se lembrar de que essa situação é uma droga.","Por un lado, si no se sonha, no se puede recordar a si mismo que esta situación es péssima.","Por un lado, si no se sonha, no se puede recordar a si mismo que esta situación es péssima.",Annie,0.653,0.644
"Plus, you don't have nightmares about how a stranger is gonna bust in to strangle you!",,"Além disso, você não tem pesadelos sobre como um estranho vai invadir você para estrangulá-lo!",,"Além disso, você não tem pesadelos sobre como um estranho vai invadir você para estrangulá-lo!",Online (Annie falhou),0.0,0.672
"...On the other hand, sleep is getting boring without dreams.",,"...Por outro lado, o sono fica chato sem sonhos.","...D'un autre côté, dormir se aborrece sans rêves.","...Por outro lado, o sono fica chato sem sonhos.",Online,0.65,0.668
Sleep just consists of your random thoughts bouncing off of each other.,,O sono consiste apenas em pensamentos aleatórios refletindo uns nos outros.,Dormir consiste en sus pensamientos aleatorios que rebotan entre si.,O sono consiste apenas em pensamentos aleatórios refletindo uns nos outros.,Online,0.631,0.674
It's too much like when you're awake.,,É muito parecido com quando você está acordado.,Parece demais quando se está acordado.,É muito parecido com quando você está acordado.,Online,0.614,0.661
Rise and shine!!! (Again!!!),,Levante-se e brilhe!!!(De novo!!!),Levante e brille!!! (De novo!!!),Levante-se e brilhe!!!(De novo!!!),Online,0.587,0.591
"Even though you got well over half a day of sleep, your eyes are still glued shut.",,"Mesmo que você tenha dormido bem mais de meio dia, seus olhos ainda estão colados.",,"Mesmo que você tenha dormido bem mais de meio dia, seus olhos ainda estão colados.",Online (Annie falhou),0.0,0.658
Not to mention that the sunlight makes you wanna clamp your eyes.,,Sem falar que a luz do sol dá vontade de fechar os olhos.,,Sem falar que a luz do sol dá vontade de fechar os olhos.,Online (Annie falhou),0.0,0.659
You don't enjoy sunlight.,,Você não gosta da luz solar.,,Você não gosta da luz solar.,Online (Annie falhou),0.0,0.677
"You don't even go out to feel its warmth: It's just a nuisance to you, something that stops you from...",,"Você nem sai para sentir seu calor: é apenas um incômodo para você, algo que te impede de...",,"Você nem sai para sentir seu calor: é apenas um incômodo para você, algo que te impede de...",Online (Annie falhou),0.0,0.648
You can't think of what it stops you from doing.,,Você não consegue pensar no que isso o impede de fazer.,No se puede pensar en lo que esto impide que se haga.,No se puede pensar en lo que esto impide que se haga.,Annie,0.685,0.678
\F[alice_depressed]\AA[F]...What am I doing?,,\F[alice_depressed]\AA[F]...O que estou fazendo?,,\F[alice_depressed]\AA[F]...O que estou fazendo?,Online (Annie falhou),0.0,0.658
\F[alice_no]\AA[F]What am I doing with my life?,,\F[alice_no]\AA[F]O que estou fazendo da minha vida?,,\F[alice_no]\AA[F]O que estou fazendo da minha vida?,Online (Annie falhou),0.0,0.662
"\F[alice_no]\AA[N]Rotting away, that's what!",,"\F[alice_no]\AA[N] Apodrecendo, é isso!",,"\F[alice_no]\AA[N] Apodrecendo, é isso!",Online (Annie falhou),0.0,0.597
\F[alice_no]\AA[N]It's in moments like these where you question everything.,,\F[alice_no]\AA[N]É em momentos como esse que você questiona tudo.,,\F[alice_no]\AA[N]É em momentos como esse que você questiona tudo.,Online (Annie falhou),0.0,0.663
\F[alice_no]\AA[N]No. You didn't question it when trash began piling up in your room.,,\F[alice_no]\AA[N]Não.Você não questionou quando o lixo começou a se acumular no seu quarto.,,\F[alice_no]\AA[N]Não.Você não questionou quando o lixo começou a se acumular no seu quarto.,Online (Annie falhou),0.0,0.665
"\F[alice_no]\AA[N]Nor did you question it when people showed up at your dorm with bills, letters of expulsion... all that good shit.",,"\F[alice_no]\AA[N]Você também não questionou quando pessoas apareceram no seu dormitório com contas, cartas de expulsão... todas essas merdas boas.",,"\F[alice_no]\AA[N]Você também não questionou quando pessoas apareceram no seu dormitório com contas, cartas de expulsão... todas essas merdas boas.",Online (Annie falhou),0.0,0.671
"\F[alice_no]\AA[N]Now that sunlight is hitting you, you question it.",,"\F[alice_no]\AA[N]Agora que a luz do sol está atingindo você, você questiona.",,"\F[alice_no]\AA[N]Agora que a luz do sol está atingindo você, você questiona.",Online (Annie falhou),0.0,0.657
\F[alice_no]\AA[N]Part of you wants to go over to the window and cover it up with something.,,\F[alice_no]\AA[N]Parte de você quer ir até a janela e cobri-la com alguma coisa.,,\F[alice_no]\AA[N]Parte de você quer ir até a janela e cobri-la com alguma coisa.,Online (Annie falhou),0.0,0.674
\F[alice_no]\AA[N]But you also don't want to see the dent you left in the bed from how long you've laid here.,,\F[alice_no]\AA[N]Mas você também não quer ver a marca que deixou na cama por quanto tempo ficou deitado aqui.,,\F[alice_no]\AA[N]Mas você também não quer ver a marca que deixou na cama por quanto tempo ficou deitado aqui.,Online (Annie falhou),0.0,0.631
\F[alice_no]\AA[N]It makes everything feel too real.,,\F[alice_no]\AA[N]Faz tudo parecer muito real.,,\F[alice_no]\AA[N]Faz tudo parecer muito real.,Online (Annie falhou),0.0,0.669
You hide from the light under the wrinkled covers.,,Você se esconde da luz sob as cobertas amassadas.,,Você se esconde da luz sob as cobertas amassadas.,Online (Annie falhou),0.0,0.662
"You don't sleep under there. You lay awake. The sunlight barely penetrates the thin fabric, but it's better than your eyes being fried.",,"Você não dorme aí embaixo.Você ficou acordado.A luz do sol mal penetra no tecido fino, mas é melhor do que fritar os olhos.",,"Você não dorme aí embaixo.Você ficou acordado.A luz do sol mal penetra no tecido fino, mas é melhor do que fritar os olhos.",Online (Annie falhou),0.0,0.639
There's nothing to distract you from your thoughts under the covers.,,Não há nada que o distraia dos seus pensamentos debaixo das cobertas.,,Não há nada que o distraia dos seus pensamentos debaixo das cobertas.,Online (Annie falhou),0.0,0.67
Nothing but the faint buzzing of flies around the garbage.,,Nada além do leve zumbido das moscas em volta do lixo.,,Nada além do leve zumbido das moscas em volta do lixo.,Online (Annie falhou),0.0,0.643
You try to make out little conversations the flies might be having.,,Você tenta entender pequenas conversas que as moscas possam estar tendo.,,Você tenta entender pequenas conversas que as moscas possam estar tendo.,Online (Annie falhou),0.0,0.669
Anything to distract you from your mind.,,Qualquer coisa para distraí-lo de sua mente.,Cualquier cosa para distraerte de tu mente.,Qualquer coisa para distraí-lo de sua mente.,Online,0.667,0.67
"After what feels like an eternity, the room is dark again.",,"Depois do que pareceu uma eternidade, a sala está escura novamente.",,"Depois do que pareceu uma eternidade, a sala está escura novamente.",Online (Annie falhou),0.0,0.676
You prop yourself up. Again.,,Você se sustenta.De novo.,Se apoye de nuevo.,Você se sustenta.De novo.,Online,0.585,0.642
\F[alice_frown]\AA[F]...Just another night. Of nothing.,,\F[alice_frown]\AA[F]...Só mais uma noite.De nada.,,\F[alice_frown]\AA[F]...Só mais uma noite.De nada.,Online (Annie falhou),0.0,0.652
\F[alice_depressed]\AA[F]That's what I expect.,,\F[alice_depressed]\AA[F]Isso é o que eu espero.,,\F[alice_depressed]\AA[F]Isso é o que eu espero.,Online (Annie falhou),0.0,0.659
\F[alice_depressed]\AA[N]Just like every single night since you caged yourself in here!,,\F[alice_depressed]\AA[N] Assim como todas as noites desde que você se enjaulou aqui!,,\F[alice_depressed]\AA[N] Assim como todas as noites desde que você se enjaulou aqui!,Online (Annie falhou),0.0,0.64
"\F[alice_depressed]\AA[N]...The only difference is that now, you're realizing how miserable it is.",,\F[alice_depressed]\AA[N]...A única diferença é que agora você está percebendo o quão miserável é.,,\F[alice_depressed]\AA[N]...A única diferença é que agora você está percebendo o quão miserável é.,Online (Annie falhou),0.0,0.674
Looks like you didn't turn off the TV last night.,,Parece que você não desligou a TV ontem à noite.,,Parece que você não desligou a TV ontem à noite.,Online (Annie falhou),0.0,0.683
Oh well. You were already behind on electricity bills. No use in caring now.,,Ah bem.Você já estava atrasado nas contas de luz.Não adianta se importar agora.,"Você ya estaba atrasado en facturas de electricidade, no sirve de nada para cuidar.","Você ya estaba atrasado en facturas de electricidade, no sirve de nada para cuidar.",Annie,0.671,0.67
"---Alice realizes there's no power---
BEAT 4",,"---Alice percebe que não há poder---
BATIDA 4",---Alice se rend compte que no existe poder----BAT 4,---Alice se rend compte que no existe poder----BAT 4,Annie,0.671,0.67
"Ah, looks like the TV's off.",,"Ah, parece que a TV está desligada.",,"Ah, parece que a TV está desligada.",Online (Annie falhou),0.0,0.667
You don't remember turning it off.,,Você não se lembra de ter desligado.,Você não se lembra de haberlo desligado.,Você não se lembra de haberlo desligado.,Annie,0.64,0.635
\F[alice_downturned]\AA[F]Guess that they finally cut the power... Explains why the lamp's off.,,\F[alice_downturned]\AA[F]Acho que finalmente cortaram a energia... Explica porque a lâmpada está apagada.,,\F[alice_downturned]\AA[F]Acho que finalmente cortaram a energia... Explica porque a lâmpada está apagada.,Online (Annie falhou),0.0,0.659
\F[alice_sleep]\AA[F]This day was coming.,,\F[alice_sleep]\AA[F]Esse dia estava chegando.,,\F[alice_sleep]\AA[F]Esse dia estava chegando.,Online (Annie falhou),0.0,0.658
\F[alice_sleep]\AA[N]Aaaaaaand now your one source of entertainment is gone!,,\F[alice_sleep]\AA[N]Aaaaaa e agora sua única fonte de entretenimento se foi!,,\F[alice_sleep]\AA[N]Aaaaaa e agora sua única fonte de entretenimento se foi!,Online (Annie falhou),0.0,0.646
\F[alice_depressed]\AA[F]...All that can keep me occupied now are my thoughts... or sleep.,,\F[alice_depressed]\AA[F]...Tudo o que pode me manter ocupado agora são meus pensamentos... ou sono.,,\F[alice_depressed]\AA[F]...Tudo o que pode me manter ocupado agora são meus pensamentos... ou sono.,Online (Annie falhou),0.0,0.678
